station,basin,X,Y
2894,SEINE,773604.9999987176,6659171.000104474
3199,SEINE,777950.9999986641,6676857.000102462
3243,SEINE,773744.999998736,6677753.000102467
3551,SEINE,769051.9999987974,6771936.000102467
3587,SEINE,760995.9999989338,6794704.000102453
3688,SEINE,690610.0000001627,6742757.000102485
3749,SEINE,693650.0000001106,6773129.000102473
3789,SEINE,720110.9999996516,6738920.000102483
3799,SEINE,715342.9999997346,6730797.0001024855
3816,SEINE,688537.0000001993,6760880.000102478
3842,SEINE,683837.0000002828,6799476.000102457
3860,SEINE,657007.0000007579,6846663.000102405
4171,SEINE,666386.0000005926,6846801.000102407
4228,SEINE,643477.0000009991,6863240.000102382
4271,SEINE,638307.000001092,6871938.000102369
4301,SEINE,867643.999997082,6770352.000102435
4426,SEINE,842594.9999974953,6825561.000102404
4498,SEINE,872026.9999969949,6792449.000102419
4519,SEINE,860411.999997191,6807022.000102414
4613,SEINE,819537.9999978915,6850737.000102385
4678,SEINE,845538.9999974294,6860123.00010236
4723,SEINE,790858.9999983903,6878119.000102352
4730,SEINE,780481.9999985765,6868443.000102371
4785,SEINE,758249.9999989665,6887129.000102347
4830,SEINE,736271.9999993551,6900136.000102326
4942,SEINE,657384.0000007526,6857582.0001023915
5105,SEINE,732682.9999994232,6853748.000102399
5191,SEINE,629586.0000012461,6871185.00010237
5231,SEINE,598428.0600018003,6881052.000102345
5253,SEINE,783332.9999985,6980997.000102143
5503,SEINE,671205.0000005128,6911549.000102306
5530,SEINE,647848.0000009263,6894199.000102335
5731,SEINE,851396.9999973217,6870317.000102346
5763,SEINE,836471.9999975779,6890717.000102319
5831,SEINE,814467.999997955,6932337.000102247
5867,SEINE,794591.9999983071,6943506.000102229
5903,SEINE,784384.9999984939,6925486.000102271
5930,SEINE,734504.9999993844,6922225.000102284
5980,SEINE,691037.0000001601,6926308.000102278
6020,SEINE,848188.9999973641,6905042.000102289
6059,SEINE,802663.9999981736,6905063.000102304
6094,SEINE,779810.9999985805,6902310.000102314
