station,slope,alt,d_source,strahler,width_river_mean,avg_depth_station_mean,width_river_cv,avg_depth_station_cv,DBO_med,flow_med,temperature_med,DBO_cv,flow_cv,temperature_cv
3688,1.23,205.56,2,1,8.048181818181819,0.6272727272727273,0.10090706947525745,0.16507367255350064,2.473798037253229,2.384550577484038,11.688958027280918,0.6246170635901115,0.44505244477671113,0.12544341469521905
3749,0.75,149.02,5,1,7.336363636363637,0.5554545454545454,0.10205271615624253,0.248596931756285,2.4632032297240882,7.5289550670553975,11.994341905074334,0.6441030581898902,0.5519372245460327,0.1400872772352264
3789,2.16,244.54,23,3,4.945454545454545,0.5981818181818181,0.036580420481861005,0.20335005282353255,2.4094396559768705,1.3372789159690333,11.379854593673526,0.6605493516158032,0.6079378731182503,0.12682513615491045
3799,1.5,234.98,14,3,4.23125,0.34933333333333333,0.08121587730237992,0.4517704039366504,2.42758617393374,1.2076500856887304,11.36907686631375,0.6601696211506821,1.0032771945504892,0.12694238569290237
3816,1.5,207.62,78,4,11.98,0.55,0.08770567970994124,0.2738696612774546,2.4742615286006084,5.336523299406644,11.78672236186108,0.6553314689926657,0.2862898069738643,0.13474124906414717
3842,0.96,131.06,48,3,5.779444444444445,0.32625,0.08635962362082086,0.28134191188790525,2.5034743479614083,0.8246850521607106,11.91993458770672,0.6479890284620762,0.8040997013826472,0.08772901679033167
3860,1.92,203.64,5,1,138.1818181818182,3.4309090909090907,0.017672771989874544,0.12338739851281237,2.5417188482829354,215.43391922736322,13.235649842076796,0.6031755303891847,0.2450885453910556,0.10555083075696937
4171,0.63,98.77,23,3,5.125,0.68375,0.03736300908317418,0.13253125685531944,2.6324763276019842,0.9104097176631054,11.798550549861263,0.4903723626815537,1.5848680795520664,0.09965358250869315
4228,1.89,200.79,548,7,170.1818181818182,4.134545454545455,0.14590688793430046,0.09140025171436156,2.550803211978085,325.5658707311307,13.519163043584996,0.6214157408078389,0.27128066450836724,0.10684365458268107
4271,1.88,198.8,603,7,139.66666666666666,3.995,0.051660884974338586,0.12782010213221706,2.6929312205883336,335.7685377310062,13.140317987249,0.5969362220523696,0.29610348183159113,0.09520950296248457
